Fri Apr  3 22:52:34 PDT 2026 | SKIPPED | rodent_run_gap/progress500_only train_setup.train_config.num_timesteps=300_000_000 train_setup.train_config.prior_residual_start_weight=0.02 train_setup.train_config.prior_residual_end_weight=0.02 logging_config.exp_name=prog500_prior0.02
Sat Apr  4 00:36:08 PDT 2026 | exit=0 | rodent_run_gap/progress500_only train_setup.train_config.num_timesteps=300_000_000 train_setup.train_config.prior_residual_start_weight=0.05 train_setup.train_config.prior_residual_end_weight=0.05 logging_config.exp_name=prog500_prior0.05
Sat Apr  4 02:19:12 PDT 2026 | exit=0 | rodent_run_gap/progress500_only train_setup.train_config.num_timesteps=300_000_000 train_setup.train_config.prior_residual_start_weight=0.1 train_setup.train_config.prior_residual_end_weight=0.1 logging_config.exp_name=prog500_prior0.1
Sat Apr  4 04:03:01 PDT 2026 | exit=0 | rodent_run_gap/progress500_only train_setup.train_config.num_timesteps=300_000_000 train_setup.train_config.prior_residual_start_weight=0.3 train_setup.train_config.prior_residual_end_weight=0.3 logging_config.exp_name=prog500_prior0.3
Sat Apr  4 05:46:39 PDT 2026 | exit=0 | rodent_run_gap/progress500_only train_setup.train_config.num_timesteps=300_000_000 train_setup.train_config.prior_residual_start_weight=0.5 train_setup.train_config.prior_residual_end_weight=0.5 logging_config.exp_name=prog500_prior0.5
Sat Apr  4 07:30:23 PDT 2026 | exit=0 | rodent_run_gap/progress500_only train_setup.train_config.num_timesteps=300_000_000 train_setup.train_config.prior_residual_start_weight=1.0 train_setup.train_config.prior_residual_end_weight=1.0 logging_config.exp_name=prog500_prior1.0
Sat Apr  4 09:14:17 PDT 2026 | exit=0 | rodent_run_gap/progress500_only train_setup.train_config.num_timesteps=300_000_000 train_setup.train_config.prior_residual_start_weight=2.0 train_setup.train_config.prior_residual_end_weight=2.0 logging_config.exp_name=prog500_prior2.0
Sat Apr  4 10:58:11 PDT 2026 | exit=0 | rodent_run_gap/progress500_only train_setup.train_config.num_timesteps=300_000_000 train_setup.train_config.prior_residual_start_weight=5.0 train_setup.train_config.prior_residual_end_weight=5.0 logging_config.exp_name=prog500_prior5.0
Sat Apr  4 16:52:19 PDT 2026 | exit=0 | rodent_run_gap/velocity_only train_setup.train_config.num_timesteps=1_000_000_000 env_config.env_args.reward_terms.forward_velocity.target_speed=0.7 logging_config.exp_name=vel0.7_only
Sat Apr  4 22:45:13 PDT 2026 | exit=0 | rodent_run_gap/velocity_only train_setup.train_config.num_timesteps=1_000_000_000 env_config.env_args.reward_terms.forward_velocity.target_speed=0.8 logging_config.exp_name=vel0.8_only
Sun Apr  5 10:34:58 PDT 2026 | exit=0 | rodent_run_gap/velocity_only train_setup.train_config.num_timesteps=2_500_000_000 env_config.env_args.reward_terms.forward_velocity.target_speed=0.9 logging_config.exp_name=vel0.9_only_ext
Sun Apr  5 16:29:55 PDT 2026 | exit=0 | rodent_run_gap/velocity_only train_setup.train_config.num_timesteps=1_000_000_000 env_config.env_args.reward_terms.forward_velocity.target_speed=1.0 logging_config.exp_name=vel1.0_only
Sun Apr  5 16:31:55 PDT 2026 | SKIPPED | rodent_run_gap/velocity_range_only logging_config.exp_name=vel_range_0.5_1.0
Sun Apr  5 16:34:16 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/track-mjx && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m track_mjx.train --config-name=rodent-full-clips
Sun Apr  5 16:39:56 PDT 2026 | exit=0 | !cd /home/talmolab/Desktop/SalkResearch/track-mjx && source /home/talmolab/Desktop/SalkResearch/mimic-mjx/bin/activate && python -m track_mjx.train --config-name=rodent-full-clips
Mon Apr  6 13:44:59 PDT 2026 | SKIPPED | rodent_run_gap/velocity_only train_setup.train_config.num_timesteps=2_000_000_000 env_config.env_args.reward_terms.forward_velocity.target_speed=0.7 logging_config.exp_name=vel0.7_only +train_setup.resume_run_id=260404_105815 +train_setup.train_config.lr_schedule=linear +train_setup.train_config.lr_end_value=1e-5
Mon Apr  6 19:47:00 PDT 2026 | exit=0 | rodent_run_gap/velocity_only train_setup.train_config.num_timesteps=2_000_000_000 env_config.env_args.reward_terms.forward_velocity.target_speed=0.8 logging_config.exp_name=vel0.8_only +train_setup.resume_run_id=260404_165224 +train_setup.train_config.lr_schedule=linear +train_setup.train_config.lr_end_value=1e-5
Mon Apr  6 21:32:52 PDT 2026 | exit=0 | rodent_run_gap/velocity_only train_setup.train_config.num_timesteps=2_000_000_000 env_config.env_args.reward_terms.forward_velocity.target_speed=0.9 logging_config.exp_name=vel0.9_only_ext +train_setup.resume_run_id=260404_224517 +train_setup.train_config.lr_schedule=linear +train_setup.train_config.lr_end_value=1e-5
