Step,Muscle,Torque
0,18.59130478,13.30794525
6717440,148.7360535,270.7618713
13434880,187.2565155,271.446228
20152320,196.2554626,270.7601624
26869760,205.471344,275.684845
33587200,202.8422089,274.2596436
40304640,200.0213013,272.6634827
47022080,204.9596252,278.074707
53739520,202.4964905,274.9081421
60456960,204.7980652,275.0179443
67174400,202.676239,273.4577026
73891840,207.7996216,276.7182617
80609280,203.8683167,275.2952881
87326720,198.3213348,272.6468811
94044160,199.2612762,275.6254883
100761600,206.7609406,277.9124451
107479040,202.0626068,273.7581787
114196480,205.4349976,278.0922852
120913920,208.3461456,277.3337708
127631360,198.5168457,274.1034546
134348800,206.2436829,277.1115112
141066240,200.3349915,275.0609741
147783680,200.6735077,273.641571
154501120,201.4831543,274.9647827
161218560,201.1219025,273.407959
167936000,205.6799774,276.9692383
174653440,202.26091,276.3342285
181370880,202.2199707,276.6361389
188088320,198.3764038,273.3859558
194805760,201.3895264,274.9144287
201523200,206.8067627,277.3464966
208240640,209.9107971,278.3208313
214958080,202.8964996,275.0632935
221675520,203.7148743,276.6042175
228392960,204.7646484,275.5545654
235110400,201.6967468,274.939209
241827840,202.4511108,274.92276
248545280,205.8664856,277.722229
255262720,203.0696106,275.4782715
261980160,198.1764526,272.5114441
268697600,199.9925537,273.8063965
275415040,206.9248505,277.6153564
282132480,200.1127625,275.3312988
288849920,204.0728302,276.9999695
295567360,197.6175537,274.4129028
302284800,207.2080383,278.6494751
309002240,197.5963135,275.6561279
315719680,200.9787903,277.0279541
322437120,201.0359192,277.5175781
329154560,198.8044586,274.90448
335872000,201.6863098,276.2350464
342589440,200.0896301,274.385437
349306880,200.7601013,275.1697388
356024320,201.5397949,276.364502
362741760,201.8729553,276.9005432
369459200,201.0693512,277.0487671
376176640,201.9191132,277.1505127
382894080,199.9299927,275.9716187
389611520,198.1932068,276.3804016
396328960,200.0119019,275.9719849
403046400,196.9028625,274.3512573
409763840,199.2141113,275.7822876
416481280,200.3117065,275.8572388
423198720,200.4351807,276.4886169
429916160,197.3561707,274.1369019
436633600,201.4999847,277.3851929
443351040,198.6246338,275.9405518
450068480,205.2191315,277.1272583
456785920,200.1867676,275.9715271
463503360,199.3116302,275.4641113
470220800,202.7762451,276.1021118
476938240,202.0118561,276.3379211
483655680,200.447464,275.795166
490373120,202.6423492,275.538269
497090560,198.6365204,273.4067078
503808000,203.9468689,276.9646912
510525440,199.2105408,274.2769775
517242880,205.7361755,277.3360596
523960320,205.839859,277.7088623
530677760,201.6077576,276.3269348
537395200,200.354126,275.9110718
544112640,199.3280334,275.7241516
550830080,200.3583374,275.2127075
557547520,202.4341736,275.4640503
564264960,206.7310181,278.9013367
570982400,198.5703125,275.1482544
577699840,192.7864075,271.8686218
584417280,199.6248169,274.2062683
591134720,204.4545288,275.7946472
597852160,202.2615967,276.0196228
604569600,204.4500275,277.5349731
611287040,200.4716034,274.3918457
618004480,203.1882935,276.2855225
624721920,193.8633423,272.1417236
631439360,195.549118,272.3038025
638156800,207.48349,278.833374
644874240,202.6015472,275.210083
651591680,203.4313354,277.3272705
658309120,202.6946106,275.6277466
665026560,204.9025574,277.8122253
671744000,209.7554169,279.5548401
678461440,203.0949097,275.4403687
685178880,204.6398926,278.0765686
691896320,199.3765411,274.7556763
698613760,198.5987854,274.6157227
705331200,199.1022186,275.4888306
712048640,203.2498932,275.9837341
718766080,205.6644745,276.9457397
725483520,200.5850525,275.3887329
732200960,210.4212646,278.9263306
738918400,205.5521393,
745635840,197.9915161,
752353280,205.4758148,
759070720,202.7887878,
765788160,199.8171844,
772505600,202.1056061,
779223040,207.2026672,
785940480,205.7411194,
792657920,203.0413208,
799375360,200.6555176,
806092800,201.8295898,
812810240,208.723938,
819527680,206.8110352,
826245120,206.4994049,
832962560,198.2061768,
839680000,201.1717834,
846397440,204.8156433,
853114880,202.199585,
859832320,206.9998016,
866549760,211.7704926,
873267200,201.4195862,
879984640,196.5283203,
886702080,208.4222565,
893419520,201.6283112,
900136960,198.8833466,
906854400,207.1572571,
913571840,199.6411438,
920289280,203.0132294,
927006720,208.5663757,
933724160,200.7378845,
940441600,204.1283722,
947159040,201.983429,
953876480,203.780304,
960593920,201.4795227,
967311360,204.5813293,
974028800,200.3158264,
980746240,200.532135,
987463680,203.4497681,
994181120,199.0661774,
1000898560,197.2816315,
